Date,Time,Topic,Message
2019-11-24,14:59:09,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1971330 1576325412516 
1972102 1576325412559 
1971620 1576325412598 
1970164 1576325412639 
1970678 1576325412678 
1970678 1576325412718 
1971029 1576325412759 
1971357 1576325412798 
1970779 1576325412839 
1970356 1576325412878 
1970356 1576325412917 
1970657 1576325412957 
1970386 1576325412997 
1971737 1576325413038 
1971936 1576325413079 
1971936 1576325413117 
1970304 1576325413157 
1970294 1576325413197 
1970912 1576325413237 
1970751 1576325413277 
"
2019-11-24,14:59:09,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1970751 1576325413318 
1972531 1576325413358 
1971716 1576325413399 
1973064 1576325413439 
1970145 1576325413478 
1970145 1576325413518 
1970679 1576325413558 
1971206 1576325413598 
1970494 1576325413639 
1969655 1576325413678 
1969655 1576325413717 
1970184 1576325413758 
1970286 1576325413797 
1970147 1576325413838 
1970054 1576325413878 
1970054 1576325413917 
1969545 1576325413957 
1971009 1576325414003 
1972011 1576325414038 
1971001 1576325414077 
"
2019-11-24,14:59:10,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1971001 1576325414118 
1969995 1576325414158 
1969945 1576325414198 
1970137 1576325414241 
1970198 1576325414278 
1970198 1576325414319 
1970304 1576325414359 
1969523 1576325414398 
1977120 1576325414439 
1970942 1576325414478 
1970942 1576325414518 
1971598 1576325414558 
1975059 1576325414598 
1970374 1576325414638 
2028907 1576325414677 
2028907 1576325414718 
1975586 1576325414757 
1982193 1576325414797 
1970739 1576325414840 
1969678 1576325414877 
"
2019-11-24,14:59:11,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1969678 1576325414918 
1969595 1576325414959 
1970443 1576325414998 
1970461 1576325415040 
1970036 1576325415079 
1970036 1576325415119 
1969724 1576325415158 
1969290 1576325415199 
1969581 1576325415239 
1969424 1576325415278 
1969424 1576325415318 
1969251 1576325415358 
1969228 1576325415398 
1969065 1576325415439 
1969443 1576325415478 
1969443 1576325415518 
1970065 1576325415558 
1970166 1576325415598 
1970041 1576325415639 
1968970 1576325415678 
"
2019-11-24,14:59:12,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1968970 1576325415719 
1969444 1576325415758 
1969447 1576325415799 
1969502 1576325415841 
1969023 1576325415880 
1969023 1576325415919 
1968550 1576325415959 
1968992 1576325415998 
1969782 1576325416040 
1970157 1576325416079 
1970157 1576325416118 
1969399 1576325416159 
1968920 1576325416198 
1969448 1576325416239 
1969134 1576325416279 
1969134 1576325416318 
1969743 1576325416358 
1968848 1576325416398 
1968685 1576325416439 
1968679 1576325416478 
"
2019-11-24,14:59:13,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1968679 1576325416519 
1969618 1576325416559 
1970135 1576325416599 
1969880 1576325416640 
1969116 1576325416679 
1969116 1576325416720 
1968255 1576325416760 
1968429 1576325416799 
1968690 1576325416840 
1968808 1576325416879 
1968808 1576325416919 
1968659 1576325416959 
1968233 1576325416998 
1969988 1576325417039 
1970241 1576325417078 
1970241 1576325417119 
1969642 1576325417158 
1969253 1576325417198 
1968712 1576325417239 
1968692 1576325417278 
"
2019-11-24,14:59:13,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1968692 1576325417319 
1968714 1576325417360 
1969359 1576325417399 
1968728 1576325417440 
1982632 1576325417480 
1982632 1576325417520 
1970388 1576325417559 
1969934 1576325417600 
1969910 1576325417641 
1969641 1576325417679 
1969641 1576325417721 
1968913 1576325417759 
1967707 1576325417799 
1968473 1576325417840 
1968710 1576325417879 
1968710 1576325417919 
1968389 1576325417959 
1967877 1576325417998 
1968592 1576325418039 
1968519 1576325418080 
"
2019-11-24,14:59:14,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1968519 1576325418119 
1969414 1576325418160 
1969408 1576325418201 
1968403 1576325418240 
1967517 1576325418280 
1967517 1576325418320 
1968111 1576325418360 
1968835 1576325418400 
1969622 1576325418441 
1972206 1576325418480 
1972206 1576325418519 
1977491 1576325418569 
1990885 1576325418599 
2006091 1576325418640 
1975213 1576325418679 
1975213 1576325418719 
1971351 1576325418759 
1968657 1576325418800 
1968587 1576325418840 
1968974 1576325418879 
"
2019-11-24,14:59:15,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1968974 1576325418920 
1968787 1576325418960 
1969987 1576325418999 
1968093 1576325419041 
1969154 1576325419080 
1969154 1576325419131 
1969056 1576325419161 
1969215 1576325419200 
1968910 1576325419240 
1967955 1576325419280 
1967955 1576325419320 
1969360 1576325419360 
1969812 1576325419400 
1970184 1576325419440 
1970084 1576325419479 
1970084 1576325419520 
1969925 1576325419559 
1971501 1576325419599 
1972576 1576325419640 
1973151 1576325419680 
"
2019-11-24,14:59:16,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1973151 1576325419719 
1972591 1576325419761 
1972314 1576325419801 
1974389 1576325419841 
1973874 1576325419881 
1973874 1576325419921 
1974332 1576325419960 
1974609 1576325420001 
1977260 1576325420041 
1978278 1576325420083 
1978278 1576325420121 
1979115 1576325420160 
1979220 1576325420201 
1979674 1576325420242 
1979710 1576325420280 
1979710 1576325420319 
1980070 1576325420360 
1980221 1576325420401 
1980715 1576325420441 
1980145 1576325420481 
"
